time_bin,coherence_c_v,n_docs,vocab_size,n_topics_used
1703-08,0.3028573597255579,289,2195,173
1703-11,0.3347876611830575,104,1180,145
1705-01,0.28323628602096,234,1919,164
1705-05,0.3119815019331898,116,1139,104
1705-09,0.3600460013388827,425,2441,201
1706-01,0.34639414429301363,86,1132,118
1706-02,0.33240626087300673,125,1609,144
1706-05,0.3441760121839325,94,1386,136
1706-12,0.3386851971547863,188,1665,167
1707-01,0.31729295530048185,210,1976,194
1707-04,0.3211148570536167,161,1412,151
1707-11,0.32359220479465844,101,957,114
1708-08,0.3483855956383116,120,1032,130
1708-10,0.3169942603144289,246,1902,173
1709-06,0.33253517938215305,100,1006,119
1709-10,0.3264363731266015,129,1184,120
1709-11,0.35849896931857084,108,1105,104
1709-12,0.3205568682002642,198,2190,196
1710-01,0.3365680984152887,171,1745,149
1710-09,0.3221289171466271,284,1915,159
1711-02,0.3763091641407672,79,826,92
1711-04,0.35978257595487856,129,894,124
1711-07,0.34906001354474775,127,1478,162
1711-12,0.2933470822834243,538,3845,257
1712-05,0.32813322285053753,296,1808,165
1712-11,0.369870335424434,260,1618,174
1714-01,0.3175484514902317,139,1520,161
1714-02,0.3136121735378065,75,1147,138
1714-07,0.3566910613403814,81,951,119
1715-06,0.3530322028261482,161,1450,157
1715-07,0.3091878559218285,237,2759,217
1716-08,0.3257499450039392,515,3910,264
1719-01,0.3186048597481254,58,1061,126
1719-07,0.3254434713897999,126,1969,178
1719-11,0.3334608794280573,139,1840,182
1720-01,0.3814501897733203,53,1006,99
1721-04,0.3352255892551497,190,2710,219
1721-05,0.3623757540468796,124,2138,187
1722-01,0.32288172164893564,86,1139,112
1722-10,0.31966954936470854,443,3681,265
1722-11,0.3327971142053887,320,3020,242
1725-02,0.2726669697322268,168,1530,188
1725-05,0.3311231526391337,661,5297,324
1726-09,0.3110010428561466,944,6470,369
1727-02,0.31538377595510775,127,1814,171
1727-11,0.3101160564219241,763,5456,332
1728-07,0.2928875983862341,524,4080,290
1728-08,0.32587474506604625,287,1850,185
1728-11,0.32416612033583525,159,1652,169
1729-04,0.3107408263508124,750,5779,341
1730-03,0.2998194423371269,482,4048,269
1730-04,0.32882024548086036,483,4137,316
1731-04,0.3333652026626741,202,2025,208
1731-05,0.3375705827904612,309,3369,260
1731-06,0.31868467571497716,156,1718,175
1731-12,0.295503380017673,187,2076,212
1732-02,0.3017111817405607,136,1741,209
1732-05,0.33165848717579066,247,2908,255
1732-06,0.3453056750021405,232,1752,195
1732-07,0.2912040795287805,143,1547,177
