,Topic,Words
0,0,"kaiserin, kaiserlichen, römisch, sept, allergnädigst, gräfin, durchleucht, dom, kaiserlich, berg"
1,1,"grossen, schrift, sol, wohnen, canon, darzu, hart, erisch, son, un"
2,2,"hochzeit, dichen, beylager, nachstens, zockel, hermelin, vellus, loudonische, putbus, trierische"
3,3,"gürtel, lemma, emblema, hofmannisch, conflans, emblemat, viterbo, kottingbrunn, schildin, matheis"
4,4,"rathstag, licitationstagsatzung, sässen, königinn, auszufeil, herrschaftl, kanonen, brachm, gegenstand, behandlung"
5,5,"troger, barcasse, bill, ordeville, valkenier, batavia, bachmayr, cation, ammunition, hautzenbergischen"
6,6,"loterie, zepter, impresario, centig, castellan, loosen, ueberschrift, gewährung, erbfolgs, delamotte"
7,7,"helsingburg, reventlau, reyst, wolffarth, fodor, leegard, zufassen, schonisch, rohtsteen, abgedanckt"
8,8,"balaguer, neuhäusel, ebetzky, bertamont, zuverschanz, topoltschan, schack, paralell, krassau, balog"
9,9,"appell, cont, ausnehmend, affigirung, fürgewest, bogner, plusofferenti, bader, sorg, eigens"
10,10,"pränumeration, sachwalter, sir, fox, anzuordn, beyzumessen, fortepiano, schublad, atlas, urkunde"
11,11,"amtskanzley, convoc, erbschaft, wiese, verlauf, kanzley, ter, ehewirthin, klafter, absterbe"
12,12,"wiesenthal, marquisdemonti, leuthner, reisingerin, philippsburg, hervey, parzerische, protektor, casin, annana"
13,13,"münde, vermählet, macher, köstlich, tambour, seith, trenscheen, schreibet, czar, woywodschafft"
14,14,"foggia, oldendorf, luckner, schleier, eimbeck, aurelio, jamer, dymel, ruaisch, assecuration"
15,15,"ahlemann, retrenchement, zeugmaister, croissy, sund, cambridge, comtedeluc, khevenhiller, sotahn, lincoln"
16,16,"violon, brosch, goa, konstituzion, rosenberger, stephansplatz, forte, saunto, sumerein, abhandlungsinstanz"
17,17,"prencipedecellamare, lercari, arrobe, gespann, zondodari, instrument, sevillien, absolution, betrübnuss, bischoflichen"
18,18,"annoch, aufstellen, trupe, seele, bestehet, do, herz, nommen, regi, getreu"
19,19,"artickul, cartouche, görtz, parallele, castillianer, würckung, zickzack, cartouch, bösswicht, voglwürger"
20,20,"kind, anspruch, anlang, jedermann, seel, band, leib, schätzen, magistrate, kauflustig"
21,21,"tag, haus, uhr, stadt, jahr, machen, alt, herr, wegen, gut"
22,22,"bill, sämmtlich, brücke, morgens, kutsche, for, haft, erfahrung, dagegen, hinaus"
23,23,"völcker, befelch, menin, gewönlich, hierauff, heüt, belaagerung, sachse, stifft, continuationdiarii"
24,24,"christiernin, mozelius, puke, schönbrun, buchh, escolin, sbirr, nunzius, castillianer, pfahl"
25,25,"mandement, xebecken, nierod, uberfahrt, auffwickler, jngweiler, unglückseelig, pittermannsdorf, alicant, dubscky"
26,26,"clüe, greissing, joachimsburg, giesse, fahrnus, oehninger, werkzeug, classification, seidenberg, vorgeruckeen"
27,27,"oxhöft, byng, hogarth, barriques, cotton, messisch, quart, löw, etlin, mylius"
28,28,"waldek, linlithgow, zukmantel, churfürstin, ulane, falkirk, bucharey, tit, empfängnus, wolgestalten"
29,29,"billeter, vogler, zuker, weinmon, estaing, theresiä, kaimischen, spit, conleute, flambeauxträger"
30,30,"feind, lager, wasser, dan, st, selbe, angelanget, juny, versehen, la"
31,31,"pointy, handler, emer, zn, verdopplung, baarschaffter, tero, dle, tass, plachenknecht"
32,32,"stüferner, weissenkirchner, celebrirt, schmiersaife, mugler, scharnitz, rheinau, capitel, neuhaüsel, schönbüchler"
33,33,"berleburg, accordiret, woiwode, derbent, conflan, schmalenberg, fouragi, hochberg, castellan, sultz"
34,34,"louisiana, estrich, pedestal, lambertini, pedestall, entrada, comdi, rubl, werkzeug, comdiecomoedie"
35,35,"dess, boten, zurük, trouppe, völcker, obriste, jnsuln, sardinisch, bischöff, triumph"
36,36,"neuyork, washington, oberdöbling, leibeserben, dazugehörigen, stockuhr, arnold, obstbaum, weinmonat, heumonat"
37,37,"edikt, feilbietung, samm, obligation, weitern, burgl, stimmen, bürger, republik, dantzig"
38,38,"rabenbauer, stich, spremberg, thomayrin, zittau, friedland, sarragossa, mossl, franzb, braunau"
39,39,"früh, foderung, recht, erbe, forderung, daher, termin, gläubiger, hiezu, entweder"
40,40,"braunau, leutnant, vorschützend, minierer, edelleuth, bäyrisch, schwören, dörfft, marchi, verua"
41,41,"hoffstadt, wolgeborn, clausthal, regensp, mucken, mirandadeduero, marquisdeguiscard, cremsier, erobe, miquelett"
42,42,"reges, saft, herbstm, hirschel, hahnenfuss, ertzen, pullio, possingerischen, weyr, recognition"
43,43,"herr, auff, auss, könig, dero, gross, general, schiff, land, kommen"
44,44,"amt, magistrat, alwo, kosten, cavallerie, schuh, jesu, lotterie, excellentz, indem"
45,45,"citat, rücksicht, eingeantwort, vorgemerken, schätzungswerth, verhalt, sidenzstadt, erbrecht, einzureich, abgehandeln"
46,46,"oeuv, clavecin, violoncelle, deputazion, flute, überführt, sandmayer, cors, antiquitatum, universalerbe"
47,47,"commando, könen, kloster, passiret, kaum, voraus, rechnung, schatz, straf, freyin"
48,48,"derreiterade, wiggs, wig, euere, uberschuss, euerer, gotenburg, partei, reyhe, dessenthalb"
49,49,"maria, cardinal, künftig, chur, regierung, sache, georg, königin, re, carl"
