,Topic,Words
0,0,"tagl, septemb, alt, theres, oberneust, französis, nunc, wien, neubau, 45"
1,1,"augsb, sebast, pulver, viii, inpulvere, begebenheiten, auflage, alt, wien, ausländische"
2,2,"1772, oest, foderung, seyn, verschuldeten, gedruckt, forderung, mart, schuldig, masse"
3,3,"apost, allg, todt, alt, arunculen, nürnberg, 1734, prag, pferd, geschehen"
4,4,"elis, appell, leop, wirthshaus, oranien, februarii, bestand, auszufeilen, preuss, mühl"
5,5,"fürstl, general, armee, kriegs, seynd, truppen, mann, majestät, herr, feld"
6,6,"krankenh, monsig, wissen, kund, jedermänniglich, hiemit, magdal, 1728, gelegen, land"
7,7,"cath, alt, blessirt, mjttwoch, christ, unwissend, todt, wäbel, meister, mann"
8,8,"churfürstl, kö, nigl, venedig, samstag, augusti, montag, pohlen, spannien, april"
9,9,"ehew, alt, febr, pour, josephst, 1776, 1774, le, avec, 27"
10,10,"päbstl, 1763, bürg, verlautet, benen, verstor, moni, anemoni, ane, neust"
11,11,"kaiserl, wien, hiemit, rath, convoc, burgermeister, gerichtl, stadt, beede, geben"
12,12,"excell, titl, herr, raht, geheimen, polen, graf, geheimer, herrn, alt"
13,13,"zoll, dienstag, schuh, phil, 1748, breit, hochw, erhuben, beschehen, 3tio"
14,14,"silber, erzbischöfl, verschiedene, 1762, gold, licitando, verkauft, kästen, stock, kupfer"
15,15,"stadt, jn, 1773, majestäten, magd, britannien, 1730, alt, wien, alsterb"
16,16,"octob, bless, 1785, 1791, wien, deleg, geruheten, wienn, viol, 1769"
17,17,"hoheit, sey, wien, residenzstadt, haupt, 1764, card, hiemit, ge, gebund"
18,18,"1759, 1749, hoheiten, ferd, samstags, anhang, entschlossen, ge, 1778, hören"
19,19,"königl, jh, gestern, 1753, stift, jhrer, mahlmühle, verwalteramte, majestä, alt"
20,20,"barb, wornach, alt, richten, wissen, landstr, fortsetzung, schaden, theile, 1751"
21,21,"landesfürstl, 1780, 1796, sonntag, dienst, gottes, wien, hof, bapt, elbstrom"
22,22,"freytag, jenner, ihrs, schneidermeist, beyderseits, ge, bestimmen, ibid, be, livree"
23,23,"citat, 1775, alt, deto, alstervorst, graf, maesstrom, wilh, gnädigster, stüferner"
24,24,"obligation, satzbrief, 1770, 1795, rom, spanien, madrid, dato, april, legitimirenden"
25,25,"licit, alt, leopoldst, mariah, eodem, würkl, lerchenf, herrschaftl, französ, 56"
26,26,"löbl, majestät, kaiserin, erz, ertz, kaiserl, maria, hof, königl, jhrer"
27,27,"majest, december, neapel, realitäten, appel, hochwürd, saamen, flor, hiemit, edict"
28,28,"summa, kind, 1783, personen, 1756, rthlr, 12mo, heiligk, alt, klein"
29,29,"kupf, 1760, bürgerl, nürnb, franz, 1705, steph, burgl, de, violonc"
30,30,"margar, mayntz, buchdr, büchern, neuburg, johann, nebst, eingestanden, landkarten, mariamagdalena"
31,31,"holland, juny, herrs, livorno, alt, brosch, brabant, gumpend, schotten, himmelpfortgr"
32,32,"zweyten, schätzung, termin, bestimmt, mann, gebracht, termine, juli, feilbietung, geschätzten"
33,33,"milit, alt, winterm, erzherzoginn, von, cont, franc, gläubiger, 75, hofer"
34,34,"effekten, hochfürstl, päpstl, ungeb, hochgräfl, buchdruckern, 1745, hof, mayland, 1782"
35,35,"ther, pfründl, paris, trompeter, ge, 23sten, majestät, 10000, conferenz, stadt"
36,36,"verkaufen, haus, stock, verlassen, heil, zimmer, keller, garten, zimmern, pferde"
37,37,"kayserl, freyherrl, alt, rorate, ro, windstill, stadt, 62, gläubiger, dienstags"
38,38,"rheinstrom, dienstm, genua, nieder, 1761, 1765, alt, wagner, gefüllte, ober"
39,39,"gräfin, amort, frau, käyserl, ordens, stern, geborne, trompeten, russisch, gott"
40,40,"gräfl, hochlöbl, verordnung, 1755, de, regul, papier, amtsverwaltung, tafel, holz"
41,41,"licit, haus, erscheinen, früh, behausung, samt, kaufen, demnach, obbestimmten, kauflustige"
42,42,"nied, diarii, wienerischen, verleger, nachricht, schuhmach, aprill, gläubiger, ge, 1711"
43,43,"july, oeuv, barmh, thle, edel, alt, knaben, herr, 1799, salm"
44,44,"verlassenschaft, erben, erscheinen, widrigen, all, vermeinen, persönlich, ansprüche, sprüche, forderungen"
45,45,"1798, bürgl, wien, september, stadt, lisabon, august, herrn, verstorbene, ge"
46,46,"math, wiener, 1777, beutel, zeitung, alt, wien, anhang, vers, nachtrag"
47,47,"serl, bischöfl, kai, guld, herzogl, hiesig, ungarn, cons, zeitungs, stät"
48,48,"kais, dito, novemb, leipz, leipzig, berlin, sonnabend, wien, brachm, montag"
49,49,"decemb, 1771, bücher, donnerstag, wien, 1746, 1752, doct, hornung, 1754"
