,Topic,Words
0,0,"königl, gestern, böheim, könig, hungarn, jhren, vorgestern, mittags, beede, kamen"
1,1,"kaiserl, beede, gedruckt, regierende, nachdeme, russisch, demnach, mittag, fruhe, sonntag"
2,2,"majest, vormittags, catholische, gestern, nachdeme, königliche, königin, kaisers, könig, jh"
3,3,"rath, nächst, rathstag, halber, sässen, anderer, jahrs, folgenden, verhindernissen, fruh"
4,4,"alt, leopoldst, math, allg, tagl, franz, wieden, landstr, mariah, josephst"
5,5,"effekten, wägen, wein, dernbergers, weine, bücher, prätiosen, mobilien, silber, vieh"
6,6,"löbl, verordnung, bewilligung, gefertigte, fruh, juli, endes, seiten, vermög, hiesig"
7,7,"wien, may, juni, 1772, 1796, 1773, haupt, 1785, 1777, novemb"
8,8,"fürstl, chur, landes, amtskanzley, grundbuch, amtswegen, stadtrichter, verwalteramte, beutel, ortsgerichte"
9,9,"gräfl, amtskanzley, amtsverwaltung, verwalteramte, ortsgericht, feilbietung, ortsgerichte, grundbuche, verwalteramt, juni"
10,10,"stadt, burgermeister, geben, niemand, vernehmen, rath, dantzig, hiesiger, residenz, residentz"
11,11,"kais, gedruckt, amtskanzley, seiten, demnach, namen, gewest, joseph, hörl, richter"
12,12,"majestät, kaiserin, könig, königin, raht, kaiser, kaiserlich, königs, höchst, geheimer"
13,13,"dito, mittag, montag, dienstag, donnerstag, ware, regierende, beede, sonntag, fest"
14,14,"haus, verkaufen, garten, kaufen, michaeler, auszufeilen, leopoldstadt, gedachtes, willens, raht"
15,15,"licit, erscheinen, früh, obbestimmten, kauflustige, amtskanzley, kauflustigen, 10, einzufinden, demnach"
16,16,"herr, graf, general, marschall, titl, obrist, baron, feld, reichs, fürst"
17,17,"hiemit, wissen, sey, kund, anlangen, gerichtl, haupt, herrschaft, jedermänniglich, franz"
18,18,"excell, seynd, abends, alhier, eodem, vormittags, euer, feld, beutel, begaben"
19,19,"verlassenschaft, erscheinen, erben, widrigen, persönlich, ansprüche, all, vermeinen, forderungen, abhandlung"
20,20,"ehew, maurers, kammer, koch, meister, mosser, grim, webers, schmidt, ursula"
21,21,"hof, buchdruckern, dienst, gottes, kirchen, raht, reichs, gehalten, meister, staats"
22,22,"jn, buchhandlung, nacht, hause, bürgerl, ghelenschen, angenehmsten, büchern, folio, buch"
23,23,"kayserl, eodem, nachdeme, ware, vormittags, brieffen, beede, dahier, regierenden, commando"
24,24,"gläubiger, erben, mayerische, weissischer, koch, sattler, müllner, beer, meissners, joschay"
25,25,"hochfürstl, general, lieutenant, seynd, lieutenants, feld, gottes, dienst, herzogs, marschallen"
26,26,"heil, fest, stift, amtskanzley, joseph, gnaden, heut, frauenstift, kirche, sigmund"
27,27,"april, 1772, 1777, 1796, spanien, montag, 1795, samstag, amort, livorno"
28,28,"cathol, tode, spanien, samstag, beliebte, beede, newen, gebürtig, hinscheiden, majorca"
29,29,"kö, nigl, nig, abends, könig, raht, nigin, nigs, vorgestern, kammerern"
30,30,"mann, zweyten, schätzung, termin, gebracht, bestimmt, termine, juli, weder, hindangegeben"
31,31,"landesfürstl, magistrate, magistrat, richter, rath, stadtrichter, burgermeister, raht, haupt, grundbuch"
32,32,"decemb, venedig, monats, künftigen, genua, rom, neapel, anhang, holland, flandern"
33,33,"hoheit, prinzessin, lothringen, charlotte, prinz, chur, prinzen, carl, printz, herzog"
34,34,"herrn, grafen, general, titl, feld, reichs, herren, fürsten, franz, gnaden"
35,35,"hochlöbl, verordnung, juni, bewilligung, folgende, täge, gewöhnlichen, nachmittag, nachmittagsstunden, mixt"
36,36,"majestäten, churfürstl, nebst, jhren, abends, beede, staats, beeden, samt, beschäftiget"
37,37,"cath, 45, maurer, eva, stief, 64, lebzelter, zeugamt, 16, 51"
38,38,"seyn, foderung, verschuldeten, forderung, masse, schuldig, anmit, schuld, erinnert, klasse"
39,39,"maria, anna, ertz, frau, gräfin, erz, seel, hertzogin, theresia, magdalena"
40,40,"leipz, theile, 45, theil, 15, kupf, 30, 1779, bände, band"
41,41,"summa, personen, kind, juni, juny, person, september, kinder, 23, nachricht"
42,42,"december, jenner, october, schweitz, augusti, rom, november, holland, juny, rheinstrom"
43,43,"convoc, 1798, august, 1789, juli, may, september, 1796, 1795, citat"
44,44,"johann, georg, burgerl, joseph, bapt, michael, peter, ghelen, franz, gedrukt"
45,45,"verkaufen, stock, verlassen, samt, nebst, garten, pferde, täglich, wohnung, keller"
46,46,"de, la, nen, par, le, 30, les, paris, wur, avec"
47,47,"ge, seynd, könig, nachricht, schiffe, kriegs, gestern, be, gen, armee"
48,48,"septemb, anhang, august, schweitz, dienstag, juli, termine, vornehmung, licitation, samstags"
49,49,"jhrer, päpstl, mittag, apost, römisch, heiligkeit, ertz, nachdeme, eodem, gegenwart"
