,Topic,Words
0,0,"herr, hof, kaiserl, tag, jahr, könig, gross, haus, dero, uhr"
1,1,"licit, bekannt, verkaufen, haus, machen, uhr, termin, gläubiger, stock, magistrate"
2,2,"auff, auss, herr, biss, mannschafft, general, dito, zuruck, lieutenant, partey"
3,3,"tag, uhr, jahr, rath, forderung, königl, haus, wissen, stadt, verlassenschaft"
4,4,"herr, kaiserlich, kaiserlichen, dan, catholische, erz, july, tes, reuterey, türkisch"
5,5,"herr, corps, armee, trupe, feind, general, sept, feindlich, uhr, kaiserl"
6,6,"kaiserl, chur, herr, sept, armee, reich, zuruk, hof, hoch, glüklich"
7,7,"alt, stadt, anna, burgerl, jahr, gold, deto, haus, tagl, kind"
8,8,"martii, cardinal, herr, conclave, papst, eminentz, kirche, päpstl, capelle, ertz"
9,9,"foderung, licit, contra, haus, verkaufen, verschuldet, machen, deto, uhr, bekannt"
10,10,"herr, tag, könig, ertz, haus, crönung, stadt, hertzogin, gross, kaiserl"
11,11,"herr, conclave, cardinal, cardinäl, pabst, dan, botschafter, kaiserlich, eminenz, kaiserlichen"
12,12,"herr, tag, uhr, foderung, haus, machen, verkaufen, hiezu, rath, wegen"
13,13,"dess, auff, auss, biss, trouppe, frantzose, käyserl, völcker, starck, herr"
14,14,"dantzig, stadt, münde, münnich, russisch, papier, capitulation, marschall, general, feld"
15,15,"oxhöft, byng, schiff, edict, minorca, herr, kaiserl, caffee, admiral, unterzeichnen"
16,16,"juny, herr, july, kaiserlich, dan, dito, dero, spannien, eleonora, kaiserlichen"
17,17,"kaiserl, herr, dito, heüt, armee, general, presburg, kaiserlich, gro, dan"
18,18,"beben, erd, uhr, herr, stadt, tag, vo, haus, rorat, minute"
19,19,"beutel, fahn, herr, graf, excellentz, excell, scheibe, presbyter, krantz, viertl"
20,20,"zuruk, herr, anemoni, tag, kaiserl, arnunculen, hof, hyacinten, land, stadt"
21,21,"herr, churfürstl, wahl, uhr, stadt, hof, haus, kaiserl, pferd, kais"
22,22,"ganz, königl, herr, gut, weisker, parlamenter, siehet, zeit, leser, leiche"
23,23,"herr, krieg, verlassenschaft, uhr, könig, sprüch, frieden, corps, sowol, edict"
24,24,"münz, feind, sept, reich, corps, flügel, leutenant, general, kaiserl, münze"
25,25,"herr, anjou, dan, barcellona, sonst, schiff, königlich, verlauen, catalonier, general"
26,26,"loterie, looss, gulden, gewinn, impresario, cammer, fünf, loosen, ziehung, articul"
27,27,"schiff, capt, krieg, schif, kaper, sept, herr, kauffahrer, john, mann"
28,28,"auff, auss, herr, biss, sambt, rebell, titl, nach, orth, frantzose"
29,29,"herr, jäner, foderung, tag, joch, machen, königl, uhr, schiff, amerikanisch"
30,30,"boten, ertz, herr, card, land, tag, oranski, session, stube, heiligk"
31,31,"martii, febr, hof, herr, hoch, kaiserl, tag, haus, recrut, ertz"
32,32,"pragpragae, uhr, band, prinz, officier, prinzessin, herr, hof, sprach, principes"
33,33,"bless, blessirt, vomfeldwäbelan, wäbel, todt, unwissend, feld, mann, armee, zusammen"
34,34,"prinzessin, herr, flohr, gross, infantin, tragen, päpstl, heiligkeit, printz, kirche"
35,35,"herr, parlament, hof, mandement, dero, raht, printz, anno, saltzburger, jahr"
36,36,"zoll, schuh, breit, hoch, ellen, holz, uhr, stuck, prinz, gross"
37,37,"foggia, gürtel, stadt, kirche, haus, tag, gross, mittag, bild, gantz"
38,38,"banck, herr, condemnirt, jahr, gebürtig, kerl, heilig, frau, hostie, ruder"
39,39,"herr, hogarth, edict, schif, tag, neu, quart, possingerischen, haus, erz"
40,40,"bill, herr, kutsche, raht, martii, hof, kaiserl, haus, gesandtschaft, sangin"
41,41,"cartouche, görtz, cartouch, kay, bösswicht, herr, annus, montpensier, diebstale, delamothe"
42,42,"bischöfl, dicesdioeces, reli, priestern, febr, kirche, monsig, heiligkeit, spanisch, herr"
43,43,"novemb, berleburg, ediet, uhr, tag, troger, parallele, wissen, stadt, machen"
44,44,"lager, armee, zuruk, feind, tag, feindlich, truppe, gantz, bayrisch, marsch"
45,45,"saft, hahnenfuss, hirschel, ätzend, sublimat, durchl, versuch, thermometer, herr, schierling"
46,46,"kaiserl, edict, jnvaliden, beben, jahr, erd, souliak, banco, stadt, tallian"
47,47,"herr, auff, dan, july, zn, alt, nömisch, plachenknecht, tero, dle"
48,48,"herr, kaiserl, excellentz, mittag, hof, gantz, dero, erb, tag, land"
49,49,"vatterland, russisch, thron, überländ, ganz, getreu, unserer, herr, gott, haus"
