,Topic,Count,Name,Representation,Representative_Docs
0,-1,40184,-1_hungarn_deutschen_ungarn_böhmen,"['hungarn', 'deutschen', 'ungarn', 'böhmen', 'deutsche', 'juden', 'der', 'in', 'zu', 'und']","['Ferner füget der Dänische Hof noch hinzu: Die Kaiserin werde Zwei fels ohne nicht missbilligen,dassmonsich diesdiesdiesfals| diesfals denen deutschen Reichs gesetzen so wol, als denen PactisConventis des Hauses Hollstein gemäss verhalte, welchemnach eine Frau allein, ohne einen Mit regenten zur Seite zu haben, die Landes regierung nicht verwalten könne.', 'NAchdeme Jhro Majestäit die Königin zu Hungarn und Bö heim Ertz Herzogin zu Oester reich  MariaTheresia, unse re Allergnädigste Frau und Landes Fürstin Montag den  lauffenden Monats Martii in der Fruhe zwischen  und  Uhr wie schon jüngst hin gemeldet worden eines schön und wolgestalteten Ertz Hertzogen zu algemeiner unaussprechlichen Freude Dero gesamten Erb Königreichen und Landen glük lichst entbunden worden; als wurden sodann die behörige Veranstaltungen um Höchst denselben noch diesen Tag auf dem Abend tauffen zu lassen vorgekehret.', 'Herr Ludwig Graf von Kevenhüller aus Hungarn von dem Kaiserlichen General Lieutenant Jhro Durchleucht Prinzen Eugeny von Savoyen aus des Gros Ve ziers Zeit nächst Peterwardein abgefertiget dahier mit  Postil lionen angelanget war und eine der ganzen Christenheit höchsterfreu liche Nachricht mitgebracht hatte; was gestalten die über zweymal hun dert tausend Mann stark Türkische Armee den  dieses des Abends gegen die Kaiserliche also nahe sich gelagert dass selbe einander mit klei nem Gewehr erlangen können; bis es endlichen den  Dito zu einer Schlacht kommen da dan Kaiserlich sowohl als Türkischer Seiten lang und hartnäckig gefochten: jedoch endlichen mit Göttlicher Hülf durch die Standhaftigkeit und Tapfferkeit der Kaiserlichen Soldaten die Türkische Armee auf das Haupt geschlagen: und ihr völliges La ger Bagaschy Geschütz wie auch Canzley glücklich erobert worden; von welchem allem man stündlich die ausführliche Nachricht erwartet; )( was| was aber dieser Herr Obrist dahier als er erstlichen den Regierend Kaiserlich und Catholischen Majestäten in der Favorita: und Jhro Verwittibt Kaiserlichen Majestät Eleonora Magdalena Theresia in der Kaiserlichen Burg: dan Jhro lezt Verwittibt Kaiserlichen Maje stät Wilhelmina Amalia( So Sich eben samt Dero Aeltest Durch leuchtigsten Erz Herzogin in dem Fürstlichen Stift der    E Regulirten Chorfrauen  Augustin.']"
1,0,2963,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']","['Oesterreichischen Niederlanden Herrn  Eugeny Franz Prinzen von Savoyen und Viemont Jn Dero Königreich Hungarn befindlicher Haupt Armee;| Darin der am  August Monats von der Kaiserlichen über die Türkische bis 200000.', 'und Katholischen Majestät UnterCommando Dero Hof Kriegs Rahts Präsidenten Gene ral Lieutenants und General Gubernatorn der Kaiserlich Oesterreichischen Niederlanden Jhrer Durchleucht Herrn Herrn Eugeny Franz Frinzen von Savoyen und Piemont Jn Dero Erb Königreich Hungarn befindlicher Haupt Armee Aus dem Lager bey Zenta vom  bis  Augusti 1716.', 'Eodem vernahme man auss Nider Hungarn mit Brieffen von dem  October dass den  Dito der Herr Obrist von Moltenberg einen Si ckingischen Lieutenant mit einiger Mundirung für die Besatzung nacher  Gotthard begleitet und von darauss  Stund weiters in das Land gegangen umb einige Rebellen so das Wein Lesen bedecket zu überfal len; weilen jener aber durch die Bauern über der Raab gleich verrathen worden habe selbiger nichts als einen Corporalen von des Kisfaludi Lasslo Regiment nebst  Stuck Vieh eingebracht auf seine lincke Hand aber den Breunerischen Herrn Hauptmann Fritsch mit  Pferdten auss geschicket; welcher eine Rebellische Parthey von  Pferdten bey Güssing angetroffen darvon einen Lieutenant mit  Mann im Dorff niderge hauen und  Gefangene nebst  Pferdten nach Fürstenfeld gebracht habe.']"
2,1,1555,1_durchl_fürstl_ebendas_kais,"['durchl', 'fürstl', 'ebendas', 'kais', 'statt', 'gebund', 'leopst', 'seel', 'löbl', 'hoheit']","['Hoheit die Durchl.', 'Als  Durchl.', 'Die Durchl.']"
3,2,1345,2_schiffe_flotte_schiffen_kriegs,"['schiffe', 'flotte', 'schiffen', 'kriegs', 'admiral', 'schiff', 'hafen', 'see', 'schif', 'meer']","['See macht, und General com missarius über das grobe Geschütz, den 13ten dieses einen Expressen vom Französischen Hof erhalten hat, so liesse er den  dieses die grosse Flaggen auf dem Admiral schiffe der alhier einige Zeit bereit gelenen Flotte, wä hen, worauf diese Flotte, welche aus Kriegs schiffen und  Fregaten beste het, in die See geloffen; Dieselbe hat eine grosse Menge allerhand Kriegs nohtwen digkeiten und Lebens mitteln, desgleichen eine starke Anzahl Mannschaft an Bord.', 'Um  Uhr des Morgens erblickte ermeldetes Schif, verschie dene Schiffe, und Fregatten, da es aber keine grosse Schiffe wahrnahm, so richtete es mit noch  andern Schiffen und  Fregatten, welche zu demselben gestossen wa ren seinen Lauf nach Cadix; indessen setzte die Flotte des Herrn de la Clüe, welche noch aus sieben Kriegs schiffen bestunde, seine Reise fort, und mit Anbruch des Tages sahe man verschiedene Schiffe, welche von der Meer enge herkamen.', 'Von Nizza wird gemeldet dass das Meer sehr ungestüm seye und vor wenig Tagen acht Kriegs Schiffe bey der Engländischen Flotte angelanget; Es habe die Flotte von Toulon zwar aus lauffen wollen sich aber wiederumen in den Hafen zuruk gezogen theils aus Beysorge von denen Engländischen Schiffen angegriffen zu werden theils um abzuwarten bis die Spanische Schiffe auch bereit seyen.']"
4,3,872,3_kirche_kirchen_cardinal_bischof,"['kirche', 'kirchen', 'cardinal', 'bischof', 'heiligkeit', 'päpstl', 'ertz', 'türken', 'bischöfl', 'cardinälen']","[""Matteo, Petra, Quirini, Lercari, Finy, Gotti; Porzia, Borghese, Ferrerio, Falconieri, Banchieri, und  Salviati, lauter Creaturen des verstorbenen Pap sten und einer überaus grossen Menge Volks nachdeme die Cardinäle nach ihrer Ordnung sich in die Reihe gestellet der Anfang zur Begräbnuss gemachet: und da die Musici der erwehnten  Haupt Kirchen sangen:  In Paradisum deducant te Angeli, & Die En geln sollen dich in das Paradeis abfüh ren  segnete der  Monsig.Simonetti Ertz Bischof von  Nicosia, und Dom Herr von  Peter in schwartzen  PontificalHabit, den Sarg von Cipressen Holtz mit einem besonde ren Gebett ein; als dieses ge endiget bespren gete und beräucherte besagter PrælatPraelat unter AbAbsingung singung| singung derer gewöhnlichen in dem Römischen Rituali vorgeschribenen Gebetern und Antiphonen den Verstorbenen und den Sarg: unterdessen legten die Priester dieser Haupt Kirchen in Chor Röck mit aller gebührlichen Ehr Erbietigkeit des Papstes Leichnam in be sagten Sarg von Cipressen Holtz auf eben die Art wie er die  Tage ware ausgesetzet ge wesen bekleidet auf einem rot goldenen mit Carmesin farben Ormesin gefütterten Unter Tuch; und weilen unter denen von diesem Papsten gemachten Cardinälen kein Verwann ter Jhrer Heiligkeit ware bedeckete dero An gesicht und Hände der Monsigd'Acquaviva d'Aragona derer  Apostolischen Palläste Hof Meister nachdeme derselbe Dero Händ und Füsse ehrerbietig geküsset hatte mit einem weis sen leinenen Tüchlein: er legete auch zu Dero Füssen die gewöhnliche  Beutel mit goldenen silbernen und metallenen Gedenk Pfennin gen; und weilen das Volk aus Andacht Sei ner Heiligkeit den Ring und einen deren grossen Spen Nadeln des Pallii genommen hatte wurden Deroselben andere angestecket; und sintemalen eben aus Andacht der Card."", 'Heut hatten Jhre Eminenz der Herr Cardinal von Schrattenbach sich in das Conclave erhoben welches gleichfals der Herr Cardinal Davia, so eben Heute Fruh dahier angekommen des Abends getahn; Und wollen Jhre Eminenz der Herr Cardinal  Cusani, Bischof zu  Pavia, so auch Heute sich aus Mailand dahier eingefunden ebenmässig sich in das Conclave begeben: Jn wel chem der MonsignorGamberucci an statt des  Monsignor Chiaponi, eines Parmesa ners von Geburt so neulich krank aus dem Conclave gebracht worden und fol gends im  Jahr des Alters gestorben zum Ceremonien Maister ernent worden.', 'Nachdeme Gestern Vormittag das Scrutinium angefan gen; So hat man dasselbe des Abends mit den üblichen Ceremonien auch wieder vorgenommen; Dabey sich befunden dass der Herr Cardinal Paulucci  Stim men gehabt und hätte vielleicht mit noch anderer Beystimmung seine Wahl völlig zusammen gebracht indeme schon einige Herren Cardinäl solches zutuhn im Begrif gewesen; Wan nicht Jhre Eminenz der Herr Cardinal Althan mittels einer nachdrücklich und statlich verfasten Rede demS.Collegio vorgestellet: dass in dem Conclave der mehreste Theil derer Herren Cardinälen mangle weilen von  nur  zugegen: und  zwischen den Mäuren von Rom wären; Dan ein ganze Nation nemlichen die Französische abgienge davon der Cardinal Minister Jhre Eminenz Herr Cardinal von  Rohan, wohl zu Rom angekommen aber noch nicht in das Conclave getretten sey; Uber das auch gebührender Massen die Wahl denen Ministeren deren Gecrön ten Häubteren noch nicht angedeutet worden um sowohl deshalben Jhrer Kaiser lichen Majestät als anderer Catholischen Mächten Gefälligkeit zuvernehmen; Bey dem Schluss dieser Red auch aus obig und mehr ander dergleichen wichtigsten Beweg Ursachen seine Schuldigkeit zuseyn erachtet nicht allein als Jhrer Kaiserlich und Catholischen Majestät Minister sondern auch als Cardinal darwider zu )()( | protestiren; Wie dan solches auch bereits Jhre Eminenz in der Taht getahn und dargegen protestiret gehabt; Welchemnach nicht wahr werden dörfte dass der  Paulucci, als Cardinal in das Conclave gangen und als Pabst herausgehen werde; Wie ihm einige von dem Volk zugeruffen; Als nun die in der Stadt Rom sich noch aufgehaltene Herren Cardinäl von diesem allen die Nachricht empfangen; So haben sich dieselbe sammentlich auser denen Herren Cardinälen Marescotti und  Scotti, die sich noch unpäslich befinden mit aller Behändig und Sorgfältigkeit und sonderlich der Herr Cardinal von  Rohan, um  Uhr Jtalienisches Zeigers Heut in das Conclave erhoben.']"
5,4,843,4_silber_kästen_sessel_verschiedene,"['silber', 'kästen', 'sessel', 'verschiedene', 'licitando', 'tische', 'zinn', 'gold', 'verkauft', 'spiegel']","['Landrechten zu den ge wöhnlichen Vor und Nachmittagsstunden in der Stadt in der Himmelpfortgasse im Fürstenber gischen Haus  978 im 2ten Stock verschie dene Fahrnisse, als Spanioldosen von Jaspis mit Gold gefasst, deto Etui, spanisches Rohr mit goldenen Knopf, gold und silberne Mün zen, gold und silberne Sackuhren, eine Reis uhr, silberne Degen und Hirschfänger, deto Reisservis, Tafel und anderes Silber, gestickt tüch und zeugene Mannskleider, deto Westen und Beinkleider, Leibwäsch, harte Tische, Sof fen und Sessel, Trumo und andere Spiegel, Luster, 1 Pendil und Stockuhr, harte Aufsatz Gläser und Schubladkästen, Porzelain, dama siene und leinwandene Spaliere, Feuergewehr, Bilder, Schaberacken, Satteldecken, und Galla pferdgeschirr, ein 4sitziger Wagen, Bettstatt, sammt Bettgewand, Kupfer und Messinggeschirr, und mehr andere Fahrnisse licitando verkauft.| Licit.', 'Nächstkünftigen Donnerstag als den  dieses Monats April werden auf dem alten Fleischmarkt der Lorenzer Kirchen über im sogenannten gross ludwigstorffischen Haus im anderten Stock ver schiedene Verlassenschaftseffecten als Gold und Silber, Uhren, Porcellan, mit Gold und Silber gallonirt auch glatte Manns kleider schöne Wäsch, Tischzeug, Mahlereyen, Spiegl, Luster, Soffen, Sessel, mit Gold eingetragene Niederländer Spa lier, Kästen, Tisch, Zinn, Messing, Kupfer, wie auch Pferd und Wagen Vormittag von  bis  Nachmittag aber von  bis  Uhr dem Meist bietenden gegen alsogleich baar leistender Bezah lung licitando verkauft, und hiemit die nachfol gende Täge continuiret werden.', 'Künftigen Donnerstag als den  August und folgende Täge werden vormittag von 9 bis 12, und nachmittag von 3 bis 6 Uhr auf der Freyung in dem kleinen fürstlich Kaunitzischen Haus im 2ten Stock verschiedene Effekten, als ein brillantener und 2 andere grosse rautene Mannsringe, andere ledige Brillanten, gold und silberne Uhren, andere Gallanterien, Sil ber, roth und gründamastene Soffen und Ses sel, Spalliere, grosse Spiegel und Trumeaux, Kästen, Tische, Bettstätte samt Bettgewand, bordirt und glatte Manns auch Frauenkleider, Wäsche, Zinn, Kupfer und andere Einrichtung licitando verkauft.']"
6,5,667,5_königl_majestäten_majestät_könig,"['königl', 'majestäten', 'majestät', 'könig', 'hungarn', 'majest', 'königs', 'böhmen', 'jhre', 'majestä']","['Von der königl.', 'Der königl.', 'und der königl.']"
7,6,528,6_türken_russischen_russische_russisch,"['türken', 'russischen', 'russische', 'russisch', 'russen', 'russland', 'petersburg', 'juden', 'rus', 'hungarn']","['Dar auf haben die Russen Anstalten gemacht, die beyden Städte Russig und Giurgiewo einzunehmen, welches die letzten sind, so die Türken diesseits der Donau noch inne gehabt; es sind zwar Nachrichten hier dass die Ein nahme von der letzten glücklich bewirket, und dass ausser vielen Gefangenen, auch eine gro sse sse Anzahl Türken, in die Donau gejaget, wovon aber noch weiter keine Bestättigung nachgekommen.', 'Kloster derer Capncinerinnen.| Warschau vom 15  Der Oberstleutenant Fabricius kam am 10ten dieses als Courier von der Russischen Hauptarme hier an, und überbrachte folgen de vorläufige Nachricht von den Vortheilen, welche ein Corps Russen über die Türken jenseits der Donau erhalten: der General major Potemkin gieng den  April mit si nem Corps von 6000.', 'Das russische Corps, wel ches über die Donau gegangen, soll bereits Jsaccia erobert und die Türken sich nach Adrianopel zurückgezogen haben.']"
8,7,511,7_königl_kömgl_thom_elis,"['königl', 'kömgl', 'thom', 'elis', '', '', '', '', '', '']","['Königl.', 'Königl.', 'Königl.']"
9,8,385,8_zimmern_zimmer_kuchel_keller,"['zimmern', 'zimmer', 'kuchel', 'keller', 'stock', 'stallung', 'küche', 'ebener', 'erde', 'verlassen']","['Dasselbe hat im ersten Stock1 Saal, 10 Zimmer und 1 Küche in zweyten Stock 1 Saal, 9 Zimmer und 2 Küchen; und im dritten Stock ein Belvedere mit freyer Aussicht auf 10 Meilen in Umfang; alle Zimmer, so wie der Saal sind mit Oefen ver sehen, dass es auch im Winter bewohnt werden kann; zu ebener Erde ist eine Salaterrena mit 1 Zimmer; dann ein grosser mit einen Kasta nienwald, Obstbäumen,Statuenundschönen Spalieren versehener Garten, wie auch die Haupt küche mit Wind und Backöfen, und 2 Zimmer, Stallung auf 17 Pferde, Schupfen auf 5 Wä gen, ein grosser Stadel, Heu und Haberböden, dann Keller, Eisgrube und Holzlage, hat 3 ei gene Brünne, 2 Höfe, und einen eigenen Ka nal, dann 57 abgesönderte Zinswohnungen, Wein und Bierschanksgerechtigkeit.', 'Jn dem Markt Mödling ist das vorhin frey herrlich Rieschische Gebäude, in 5 Zimmern und einem Saale nebst Einrichtung, einer wohl bestellten Küche mit lebendigem Wasser, einem Zimmer für die Köchin, einer Speise, einem Bodenzimmer für Bediente, dann einem ab gesonderten Zimmer, Kammer und Küche, einem Theater, einem Baadzimmer und dar neben befindlichen Kabinette, einem Keller, Stallung auf 4 auch 8 bis 10 Pferde, einem Zier auch geräumigen Küchen und Obstgar ten mit mehrern Bassins bestehend, täglich in Bestand zu verlassen; wer demnach hiezu ein Belieben trägt, kann sich des mehrern bey dem auf der Wieden im goldenen Adler  85 wohnhaften Eigenthümer erkundigen, welcher allenfalls einem Bestandnehmer im erfoderlichen Falle auch noch mehrere Zimmer und Be quemlichkeiten einzuräumen erbietig  Zu Gräfendorf nächst Stockerau ist das wohl gebaute Schildwirthshaus zum goldenen Adler genannt  18 an der Poststrasse liegend täglich zu verkaufen; solches hat zu ebener Erde 6 Zimmer, im ersten Stock 5 Zimmer,nebst| 2 Kucheln und 2 Speisen, einen tiefen Keller auf 7 bis 800 Eimer, extra ein Krautkellerl, zu ebener Erde ein Kasten, in der Höhe 2 sehr grosse Schütt dann 2 grosse Heuböden, Stal lungen auf 80 Pferde, ein grosser Kuchel und Obstgarten, dann ein Grasgarten, worauf ein neuerbauter Stadel stehet, hiezu gehören 18 3 4 Joch Acker, 1 2 Tagwerk Wiesen, 2 4tel Krautgarten und 1 2 Joch Holz; wer diese Behausung zu kaufen Belieben trägt, hat sich bey dem Jnhaber daselbst anzumelden.', 'Zu Gumpendorf ist das Herrschaftshaus  26, an der Hauptstrasse, der Pfarrkirche gegenüber, täglich ganz oder zum Theil zu verlassen; selbes be steht zur ebener Erde in 3 Zimmern, 1 Kam mer, 2 Küchen, Speis, Holzgewölb, und Keller, im ersten Stock in 7 Zimmern, 1 Kammer, 1 Saal und Vorhaus, nebst einem grossen Garten, Stallung auf 7 Pferde, und Wagenschupfe, und ist sich deswegen bey der Frau Maria Anna Vo gel daselbst zu melden.| Wohnung und Garten zu verlassen, oder das Haus zu verkaufen.']"
